2026-02-20 05:21:52.543 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.utils.logger:setup_logger:41 — Logger initialized for run_id=6fc6fd76-111f-4634-a174-b9dcb4da087f
2026-02-20 05:21:56.682 | WARNING  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.root_cause_agent:run:63 — [RootCauseAgent] LLM unavailable (GEMINI_API_KEY not set. Get a free key at: https://aistudio.google.com/apikey) — using static analysis only
2026-02-20 05:21:56.682 | DEBUG    | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.root_cause_agent:_analyze_static:209 — [RootCauseAgent] Static root cause: /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/6fc6fd76-111f-4634-a174-b9dcb4da087f/demo.py:1
2026-02-20 05:21:56.682 | SUCCESS  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.root_cause_agent:run:121 — [RootCauseAgent] Done in 0.00s
2026-02-20 05:21:56.683 | WARNING  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.patch_generator_agent:__init__:85 — [PatchGeneratorAgent] LLM init failed: GEMINI_API_KEY not set. Get a free key at: https://aistudio.google.com/apikey — fallback mode
2026-02-20 05:21:56.683 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.patch_generator_agent:run:102 — [PatchGeneratorAgent] Generating patches for 1 failures...
2026-02-20 05:21:56.685 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.patch_generator_agent:_fallback_patch:371 — [PatchGeneratorAgent] ⚙️  Fallback rule patch applied to demo.py
2026-02-20 05:21:56.686 | SUCCESS  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.patch_generator_agent:run:155 — [PatchGeneratorAgent] 1 patches generated in 0.00s (workers=1)
2026-02-20 05:21:56.686 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.validation_agent:run:48 — [ValidationAgent] Validating 1 patches...
2026-02-20 05:21:56.687 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.test_runner_agent:_execute_pytest:131 — [TestRunnerAgent] Running pytest in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/6fc6fd76-111f-4634-a174-b9dcb4da087f
2026-02-20 05:21:59.820 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.validation_agent:_validate_patch:137 — [ValidationAgent] No test suite — accepting patch if syntax clean
2026-02-20 05:21:59.821 | SUCCESS  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.validation_agent:run:97 — [ValidationAgent] ✅ Patch b4394f94 ACCEPTED — fixed 1 tests
2026-02-20 05:21:59.821 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.validation_agent:run:120 — [ValidationAgent] Done in 3.13s — 1/1 patches accepted
2026-02-20 05:21:59.822 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.commit_optimizer_agent:run:42 — [CommitOptimizerAgent] Committing 1 fixes...
2026-02-20 05:21:59.829 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.commit_optimizer_agent:_ensure_branch:106 — [CommitOptimizerAgent] Created branch: HARSF_WASF_AI_FIX
2026-02-20 05:21:59.835 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.commit_optimizer_agent:_group_and_commit:160 — [CommitOptimizerAgent] Committed c4a3cb19 — SYNTAX (1 files)
2026-02-20 05:21:59.839 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.commit_optimizer_agent:_push_to_remote:185 — [CommitOptimizerAgent] Pushing branch HARSF_WASF_AI_FIX to origin...
2026-02-20 05:22:00.000 | ERROR    | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.commit_optimizer_agent:_push_to_remote:202 — [CommitOptimizerAgent] Push failed: Cmd('git') failed due to: exit code(128)
  cmdline: git push --porcelain --force -- origin HARSF_WASF_AI_FIX:HARSF_WASF_AI_FIX
  stderr: 'fatal: Authentication failed for 'https://github.com/rohits-18/RIFT2/''
2026-02-20 05:22:00.000 | SUCCESS  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.commit_optimizer_agent:run:88 — [CommitOptimizerAgent] 1 commits created in 0.18s
2026-02-20 05:22:00.001 | SUCCESS  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.orchestrator.graph:should_continue:80 — [Orchestrator] All failures resolved — converging ✅
2026-02-20 05:22:00.002 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.scoring_agent:run:39 — [ScoringAgent] Computing final score...
2026-02-20 05:22:00.002 | SUCCESS  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.scoring_agent:run:71 — [ScoringAgent] Score=110.00 | fixes=1 | efficiency=1.00 | regressions_penalty=0.0
2026-02-20 05:22:00.003 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.orchestrator.graph:run_healing_pipeline:235 — 🏁 Pipeline complete. Status: SUCCESS
