2026-02-19 23:47:07.421 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.utils.logger:setup_logger:41 — Logger initialized for run_id=4d9f7aad-5b5b-40de-a63a-5e50b1aac435
2026-02-19 23:47:09.569 | DEBUG    | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.root_cause_agent:_analyze_with_llm:142 — [RootCauseAgent] ✅ LLM root cause for caad8b74: /Users/harshshinde/Movies/CapCut/untitled folder/CodeReborn/backend/workspace/4d9f7aad-5b5b-40de-a63a-5e50b1aac435/codemine.py:3
2026-02-19 23:47:09.569 | DEBUG    | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.root_cause_agent:_analyze_static:186 — [RootCauseAgent] Static root cause: /Users/harshshinde/Movies/CapCut/untitled folder/CodeReborn/backend/workspace/4d9f7aad-5b5b-40de-a63a-5e50b1aac435/codemine.py:4
2026-02-19 23:47:09.569 | SUCCESS  | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.root_cause_agent:run:98 — [RootCauseAgent] Done in 0.52s
2026-02-19 23:47:09.570 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.patch_generator_agent:run:102 — [PatchGeneratorAgent] Generating patches for 1 failures...
2026-02-19 23:47:10.019 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.patch_generator_agent:_generate_patch:238 — [PatchGeneratorAgent] Patch bf128828 for codemine.py — 27 lines changed
2026-02-19 23:47:10.019 | SUCCESS  | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.patch_generator_agent:run:131 — [PatchGeneratorAgent] 1 patches generated in 0.45s
2026-02-19 23:47:10.020 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.validation_agent:run:48 — [ValidationAgent] Validating 1 patches...
2026-02-19 23:47:10.021 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.test_runner_agent:_execute_pytest:130 — [TestRunnerAgent] Running pytest in /Users/harshshinde/Movies/CapCut/untitled folder/CodeReborn/backend/workspace/4d9f7aad-5b5b-40de-a63a-5e50b1aac435
2026-02-19 23:47:10.890 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.validation_agent:_validate_patch:105 — [ValidationAgent] No test suite — accepting patch if syntax clean
2026-02-19 23:47:10.890 | SUCCESS  | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.validation_agent:run:61 — [ValidationAgent] ✅ Patch bf128828 ACCEPTED — fixed 1 tests
2026-02-19 23:47:10.890 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.validation_agent:run:88 — [ValidationAgent] Done in 0.87s — 1/1 patches accepted
2026-02-19 23:47:10.892 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.commit_optimizer_agent:run:42 — [CommitOptimizerAgent] Committing 1 fixes...
2026-02-19 23:47:10.919 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.commit_optimizer_agent:_ensure_branch:91 — [CommitOptimizerAgent] Created branch: SHAM_RIFT21_AI_FIX
2026-02-19 23:47:10.954 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.commit_optimizer_agent:_group_and_commit:145 — [CommitOptimizerAgent] Committed 60a143a0 — FailureType.LOGIC (1 files)
2026-02-19 23:47:10.966 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.commit_optimizer_agent:_push_to_remote:170 — [CommitOptimizerAgent] Pushing branch SHAM_RIFT21_AI_FIX to origin...
2026-02-19 23:47:12.335 | SUCCESS  | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.commit_optimizer_agent:_push_to_remote:178 — [CommitOptimizerAgent] Successfully pushed to https://github.com/rohits-18/RIFT2.git
2026-02-19 23:47:12.335 | SUCCESS  | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.commit_optimizer_agent:run:73 — [CommitOptimizerAgent] 1 commits created in 1.44s
2026-02-19 23:47:12.336 | SUCCESS  | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.orchestrator.graph:should_continue:80 — [Orchestrator] All failures resolved — converging ✅
2026-02-19 23:47:12.337 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.scoring_agent:run:39 — [ScoringAgent] Computing final score...
2026-02-19 23:47:12.337 | SUCCESS  | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.scoring_agent:run:71 — [ScoringAgent] Score=135.00 | fixes=1 | efficiency=1.00 | regressions_penalty=0.0
2026-02-19 23:47:12.338 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.orchestrator.graph:run_healing_pipeline:223 — 🏁 Pipeline complete. Status: SUCCESS
