2026-02-20 05:24:17.940 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.utils.logger:setup_logger:41 — Logger initialized for run_id=077326bd-b2a7-455b-85a3-5dace38f9a30
2026-02-20 05:24:20.909 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.failure_classifier_agent:run:166 — [FailureClassifierAgent] Classifying failures...
2026-02-20 05:24:20.910 | WARNING  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.utils.ast_parser:parse_file:74 — [ASTParser] SyntaxError in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/077326bd-b2a7-455b-85a3-5dace38f9a30/demo.py:1 — expected ':'
2026-02-20 05:24:20.910 | WARNING  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.utils.ast_parser:parse_file:74 — [ASTParser] SyntaxError in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/077326bd-b2a7-455b-85a3-5dace38f9a30/demo.py:1 — expected ':'
2026-02-20 05:24:20.910 | WARNING  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.utils.ast_parser:parse_file:74 — [ASTParser] SyntaxError in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/077326bd-b2a7-455b-85a3-5dace38f9a30/demo.py:1 — expected ':'
2026-02-20 05:24:20.911 | WARNING  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.utils.ast_parser:parse_file:74 — [ASTParser] SyntaxError in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/077326bd-b2a7-455b-85a3-5dace38f9a30/demo.py:1 — expected ':'
2026-02-20 05:24:20.911 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.failure_classifier_agent:run:195 — [FailureClassifierAgent] Running proactive LLM bug scan...
2026-02-20 05:24:21.389 | SUCCESS  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.failure_classifier_agent:run:216 — [FailureClassifierAgent] 1 failures classified in 0.48s
2026-02-20 05:24:21.391 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.root_cause_agent:run:56 — [RootCauseAgent] Analyzing 1 failures...
2026-02-20 05:24:21.391 | WARNING  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.root_cause_agent:run:63 — [RootCauseAgent] LLM unavailable (GEMINI_API_KEY not set. Get a free key at: https://aistudio.google.com/apikey) — using static analysis only
2026-02-20 05:24:21.391 | DEBUG    | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.root_cause_agent:_analyze_static:209 — [RootCauseAgent] Static root cause: /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/077326bd-b2a7-455b-85a3-5dace38f9a30/demo.py:1
2026-02-20 05:24:21.391 | SUCCESS  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.root_cause_agent:run:121 — [RootCauseAgent] Done in 0.00s
2026-02-20 05:24:21.392 | WARNING  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.patch_generator_agent:__init__:85 — [PatchGeneratorAgent] LLM init failed: GEMINI_API_KEY not set. Get a free key at: https://aistudio.google.com/apikey — fallback mode
2026-02-20 05:24:21.392 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.patch_generator_agent:run:102 — [PatchGeneratorAgent] Generating patches for 1 failures...
2026-02-20 05:24:21.394 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.patch_generator_agent:_fallback_patch:371 — [PatchGeneratorAgent] ⚙️  Fallback rule patch applied to demo.py
2026-02-20 05:24:21.394 | SUCCESS  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.patch_generator_agent:run:155 — [PatchGeneratorAgent] 1 patches generated in 0.00s (workers=1)
2026-02-20 05:24:21.395 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.validation_agent:run:48 — [ValidationAgent] Validating 1 patches...
2026-02-20 05:24:21.396 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.test_runner_agent:_execute_pytest:131 — [TestRunnerAgent] Running pytest in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/077326bd-b2a7-455b-85a3-5dace38f9a30
2026-02-20 05:24:24.115 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.validation_agent:_validate_patch:137 — [ValidationAgent] No test suite — accepting patch if syntax clean
2026-02-20 05:24:24.115 | SUCCESS  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.validation_agent:run:97 — [ValidationAgent] ✅ Patch 42bb9fa2 ACCEPTED — fixed 1 tests
2026-02-20 05:24:24.115 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.validation_agent:run:120 — [ValidationAgent] Done in 2.72s — 1/1 patches accepted
2026-02-20 05:24:24.116 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.commit_optimizer_agent:run:42 — [CommitOptimizerAgent] Committing 1 fixes...
2026-02-20 05:24:24.121 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.commit_optimizer_agent:_ensure_branch:106 — [CommitOptimizerAgent] Created branch: ROHIT_WASF_AI_FIX
2026-02-20 05:24:24.126 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.commit_optimizer_agent:_group_and_commit:160 — [CommitOptimizerAgent] Committed be8c31fd — SYNTAX (1 files)
2026-02-20 05:24:24.129 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.commit_optimizer_agent:_push_to_remote:185 — [CommitOptimizerAgent] Pushing branch ROHIT_WASF_AI_FIX to origin...
2026-02-20 05:24:24.276 | ERROR    | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.commit_optimizer_agent:_push_to_remote:202 — [CommitOptimizerAgent] Push failed: Cmd('git') failed due to: exit code(128)
  cmdline: git push --porcelain --force -- origin ROHIT_WASF_AI_FIX:ROHIT_WASF_AI_FIX
  stderr: 'fatal: Authentication failed for 'https://github.com/rohits-18/RIFT2/''
2026-02-20 05:24:24.276 | SUCCESS  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.commit_optimizer_agent:run:88 — [CommitOptimizerAgent] 1 commits created in 0.16s
2026-02-20 05:24:24.277 | SUCCESS  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.orchestrator.graph:should_continue:80 — [Orchestrator] All failures resolved — converging ✅
2026-02-20 05:24:24.277 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.scoring_agent:run:39 — [ScoringAgent] Computing final score...
2026-02-20 05:24:24.278 | SUCCESS  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.scoring_agent:run:71 — [ScoringAgent] Score=110.00 | fixes=1 | efficiency=1.00 | regressions_penalty=0.0
2026-02-20 05:24:24.279 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.orchestrator.graph:run_healing_pipeline:235 — 🏁 Pipeline complete. Status: SUCCESS
